Norm 7.891214, Time 21
Norm 8.482405, Time 20
Norm 8.906384, Time 20
Norm 9.382244, Time 20
Norm 10.205495, Time 20
Norm 11.522243, Time 21
Norm 12.658089, Time 20
Norm 12.919961, Time 20
Norm 12.594609, Time 20
Norm 12.054777, Time 21
Norm 11.376595, Time 20
Norm 11.175866, Time 20
Norm 10.557993, Time 20
Norm 9.733318, Time 21
Norm 9.087017, Time 20
Norm 8.762881, Time 20
Norm 8.601052, Time 20
Norm 8.756443, Time 21
Norm 8.992701, Time 20
Norm 8.861248, Time 20
Norm 8.521647, Time 20
Norm 8.345929, Time 21
Norm 7.966786, Time 20
Norm 7.772554, Time 22
Norm 8.011231, Time 18
Norm 8.26185, Time 20
Norm 8.665881, Time 21
Norm 9.254362, Time 20
Norm 10.041938, Time 20
Norm 10.77094, Time 20
Norm 11.469028, Time 21
Norm 12.346678, Time 20
Norm 12.62806, Time 20
Norm 12.318081, Time 21
Norm 11.599148, Time 20
Norm 10.757109, Time 20
Norm 10.319164, Time 20
Norm 10.015671, Time 20
Norm 9.682889, Time 21
Norm 9.038792, Time 20
Norm 9.101185, Time 20
Norm 9.282425, Time 21
Norm 9.023838, Time 20
Norm 8.364569, Time 20
Norm 7.7978005, Time 20
Norm 7.145025, Time 22
Norm 6.4211526, Time 19
Norm 6.5273447, Time 21
Norm 7.4596367, Time 19
Norm 8.202944, Time 20
Norm 8.753731, Time 21
Norm 9.370611, Time 20
Norm 10.583536, Time 20
Norm 11.578049, Time 20
Norm 12.37586, Time 21
Norm 12.894678, Time 20
Norm 12.9573965, Time 20
Norm 12.261711, Time 20
Norm 11.856667, Time 20
Norm 11.834695, Time 21
Norm 11.036332, Time 20
Norm 10.196301, Time 20
Norm 10.000284, Time 20
Norm 9.557827, Time 21
Norm 8.837139, Time 20
Norm 8.117876, Time 20
Norm 7.7406487, Time 20
Norm 7.9446335, Time 21
Norm 8.048197, Time 20
Norm 7.911101, Time 20
Norm 7.734127, Time 21
Norm 7.7395463, Time 21
Norm 7.8885336, Time 20
Norm 8.429687, Time 20
Norm 8.879412, Time 20
Norm 8.960999, Time 20
Norm 8.95666, Time 20
Norm 9.471236, Time 20
Norm 10.562314, Time 21
Norm 11.962396, Time 20
Norm 12.96225, Time 20
Norm 12.928723, Time 24
Norm 12.246912, Time 17
Norm 11.373513, Time 20
Norm 10.947828, Time 20
Norm 10.847835, Time 27
Norm 10.86926, Time 13
Norm 10.624858, Time 21
Norm 9.892368, Time 20
Norm 9.169296, Time 21
Norm 9.048075, Time 19
Norm 9.445777, Time 21
Norm 9.767347, Time 20
Norm 9.233491, Time 20
Norm 8.36836, Time 20
Norm 7.5603848, Time 21
Norm 6.893255, Time 20
Norm 6.814885, Time 44
Norm 7.426175, Time 15
Norm 8.144125, Time 6
Norm 8.469217, Time 18
Norm 8.416658, Time 21
Norm 8.872545, Time 21
Norm 9.851523, Time 20
Norm 11.00277, Time 20
Norm 12.098588, Time 20
Norm 12.889348, Time 21
Norm 12.929046, Time 20
Norm 12.318323, Time 20
Norm 11.471931, Time 20
Norm 10.6751995, Time 21
Norm 10.387513, Time 20
Norm 10.320648, Time 24
Norm 9.950528, Time 20
Norm 9.428843, Time 21
Norm 9.005573, Time 20
Norm 8.927418, Time 20
Norm 9.052819, Time 20
Norm 8.940843, Time 21
Norm 8.347817, Time 22
Norm 7.6921086, Time 18
Norm 7.4805107, Time 20
Norm 7.692398, Time 21
Norm 7.8699923, Time 20
Norm 8.323648, Time 20
Norm 8.962355, Time 20
Norm 9.686241, Time 20
Norm 10.0953245, Time 21
Norm 10.700862, Time 20
Norm 11.464829, Time 20
Norm 12.010474, Time 20
Norm 12.151098, Time 20
Norm 12.185926, Time 21
Norm 11.9188, Time 20
Norm 11.375869, Time 20
Norm 11.076425, Time 21
Norm 10.957704, Time 20
Norm 10.645668, Time 20
Norm 9.813193, Time 20
Norm 9.098984, Time 20
Norm 8.765263, Time 20
Norm 8.58632, Time 21
Norm 8.226667, Time 20
Norm 7.690095, Time 21
Norm 7.1673965, Time 19
Norm 7.048145, Time 21
Norm 7.473725, Time 20
Norm 7.969882, Time 20
Norm 8.176385, Time 20
Norm 8.268403, Time 21
Norm 9.049868, Time 20
Norm 10.235843, Time 22
Norm 11.187961, Time 19
Norm 11.777451, Time 19
Norm 12.179317, Time 21
Norm 12.187129, Time 20
Norm 11.831669, Time 20
Norm 11.254108, Time 21
Norm 11.276076, Time 20
Norm 11.056711, Time 20
Norm 10.608607, Time 20
Norm 10.353068, Time 22
Norm 10.214698, Time 19
Norm 9.976698, Time 20
Norm 9.408713, Time 20
Norm 8.584267, Time 20
